Source,Target,Weight,Label,Type
1,2,1,Artista,Dirigido
1,9,1,Artista,Dirigido
1,11,1,Año,Dirigido
1,12,1,Artista,Dirigido
1,13,1,Artista,Dirigido
1,16,1,Artista,Dirigido
1,18,1,Artista,Dirigido
1,19,1,Año,Dirigido
1,20,1,Año,Dirigido
1,26,1,Año,Dirigido
1,31,1,Artista,Dirigido
1,33,1,Año,Dirigido
1,34,1,Año,Dirigido
1,37,1,Año,Dirigido
1,39,1,Año,Dirigido
1,43,1,Año,Dirigido
1,50,1,Artista,Dirigido
1,52,1,Artista,Dirigido
1,133,1,Año,Dirigido
1,218,1,Año,Dirigido
1,343,1,Año,Dirigido
1,369,1,Año,Dirigido
1,395,1,Año,Dirigido
1,435,1,Año,Dirigido
1,440,1,Año,Dirigido
1,442,1,Año,Dirigido
1,452,1,Año,Dirigido
1,455,1,Año,Dirigido
1,456,1,Año,Dirigido
1,482,1,Año,Dirigido
1,488,1,Año,Dirigido
1,519,1,Año,Dirigido
1,672,1,Año,Dirigido
1,739,1,Año,Dirigido
1,750,1,Año,Dirigido
1,756,1,Año,Dirigido
1,758,1,Año,Dirigido
1,759,1,Año,Dirigido
1,762,1,Año,Dirigido
1,777,1,Año,Dirigido
1,789,1,Año,Dirigido
1,797,1,Año,Dirigido
1,802,1,Año,Dirigido
1,807,1,Año,Dirigido
1,832,1,Año,Dirigido
1,918,1,Año,Dirigido
1,939,1,Año,Dirigido
1,954,1,Año,Dirigido
1,961,1,Año,Dirigido
1,1084,1,Año,Dirigido
1,1102,1,Año,Dirigido
1,1110,1,Año,Dirigido
1,1111,1,Año,Dirigido
1,1128,1,Año,Dirigido
1,1136,1,Año,Dirigido
1,1143,1,Año,Dirigido
1,1154,1,Año,Dirigido
1,1155,1,Año,Dirigido
1,1157,1,Año,Dirigido
1,1160,1,Año,Dirigido
1,1162,1,Año,Dirigido
1,1167,1,Año,Dirigido
1,1261,1,Año,Dirigido
1,1281,1,Año,Dirigido
1,1315,1,Año,Dirigido
1,1325,1,Año,Dirigido
1,1340,1,Año,Dirigido
1,1343,1,Año,Dirigido
1,1344,1,Año,Dirigido
1,1348,1,Año,Dirigido
1,1357,1,Año,Dirigido
1,1358,1,Año,Dirigido
1,1361,1,Año,Dirigido
1,1363,1,Año,Dirigido
1,1369,1,Año,Dirigido
